timestamp,total_transfer_vol_within_exchanges_btc_all_exchanges
2012-06-25T00:00:00Z,35.25029227
2012-06-26T00:00:00Z,39.53141637
2012-06-27T00:00:00Z,1100.321135
2012-06-28T00:00:00Z,2.54200093
2012-06-29T00:00:00Z,1220.491232
2012-06-30T00:00:00Z,0
2012-07-01T00:00:00Z,4.56330738
2012-07-02T00:00:00Z,23.77117058
2012-07-03T00:00:00Z,25.56492734
2012-07-04T00:00:00Z,300.4107059
2012-07-05T00:00:00Z,167.1963384
2012-07-06T00:00:00Z,133.6623331
2012-07-07T00:00:00Z,93.09780246
2012-07-08T00:00:00Z,30.07218695
2012-07-09T00:00:00Z,36.16216999
2012-07-10T00:00:00Z,26.93667854
2012-07-11T00:00:00Z,5.7610513
2012-07-12T00:00:00Z,491.0698374
2012-07-13T00:00:00Z,240.0395934
2012-07-14T00:00:00Z,0.81782625
2012-07-15T00:00:00Z,4.12791558
2012-07-16T00:00:00Z,67.59126709
2012-07-17T00:00:00Z,309.383589
2012-07-18T00:00:00Z,1166.54884
2012-07-19T00:00:00Z,316.5986947
2012-07-20T00:00:00Z,18.64046229
2012-07-21T00:00:00Z,143.7455304
2012-07-22T00:00:00Z,19.72520149
2012-07-23T00:00:00Z,52.06023993
2012-07-24T00:00:00Z,191.7999949
2012-07-25T00:00:00Z,106.3256092
2012-07-26T00:00:00Z,35.8200846
2012-07-27T00:00:00Z,156.25299
2012-07-28T00:00:00Z,126.1423881
2012-07-29T00:00:00Z,15.76065871
2012-07-30T00:00:00Z,159.9300277
2012-07-31T00:00:00Z,48.5522232
2012-08-01T00:00:00Z,84.44929811
2012-08-02T00:00:00Z,5.35263837
2012-08-03T00:00:00Z,53.29327233
2012-08-04T00:00:00Z,25.68287135
2012-08-05T00:00:00Z,17.56073459
2012-08-06T00:00:00Z,73.59592156
2012-08-07T00:00:00Z,17.43391305
2012-08-08T00:00:00Z,41.79200918
2012-08-09T00:00:00Z,811.9452864
2012-08-10T00:00:00Z,22.11728531
2012-08-11T00:00:00Z,62.66954694
2012-08-12T00:00:00Z,0.09607561
2012-08-13T00:00:00Z,11.0645153
2012-08-14T00:00:00Z,1871.399013
2012-08-15T00:00:00Z,8.22492175
2012-08-16T00:00:00Z,7.39911095
2012-08-17T00:00:00Z,68.8092624
2012-08-18T00:00:00Z,7.88146173
2012-08-19T00:00:00Z,118.3932827
2012-08-20T00:00:00Z,96.7338402
2012-08-21T00:00:00Z,55.5980981
2012-08-22T00:00:00Z,45.09173428
2012-08-23T00:00:00Z,38.10030557
2012-08-24T00:00:00Z,377.3805831
2012-08-25T00:00:00Z,1.87841681
2012-08-26T00:00:00Z,4.23364324
2012-08-27T00:00:00Z,89.72797934
2012-08-28T00:00:00Z,329.6287717
2012-08-29T00:00:00Z,265.9019708
2012-08-30T00:00:00Z,697.3044586
2012-08-31T00:00:00Z,1.71297196
2012-09-01T00:00:00Z,26.55826686
2012-09-02T00:00:00Z,2.79023095
2012-09-03T00:00:00Z,70.20398056
2012-09-04T00:00:00Z,43.90292826
2012-09-05T00:00:00Z,146.9575994
2012-09-06T00:00:00Z,570.4059091
2012-09-07T00:00:00Z,132.5936056
2012-09-08T00:00:00Z,59.86413448
2012-09-09T00:00:00Z,25.74657596
2012-09-10T00:00:00Z,57.2385804
2012-09-11T00:00:00Z,19.25030866
2012-09-12T00:00:00Z,206.009324
2012-09-13T00:00:00Z,14.39781475
2012-09-14T00:00:00Z,71.90974117
2012-09-15T00:00:00Z,24.48901309
2012-09-16T00:00:00Z,19.3205778
2012-09-17T00:00:00Z,59.57513025
2012-09-18T00:00:00Z,70.15637461
2012-09-19T00:00:00Z,99.1247066
2012-09-20T00:00:00Z,483.2994484
2012-09-21T00:00:00Z,18.49892481
2012-09-22T00:00:00Z,24.27109811
2012-09-23T00:00:00Z,62.23148958
2012-09-24T00:00:00Z,130.2047452
2012-09-25T00:00:00Z,19.70706668
2012-09-26T00:00:00Z,100.8742765
2012-09-27T00:00:00Z,564.1508818
2012-09-28T00:00:00Z,26.16913911
2012-09-29T00:00:00Z,121.4659155
2012-09-30T00:00:00Z,3.0891497
2012-10-01T00:00:00Z,24.78169987
2012-10-02T00:00:00Z,53.03976576
2012-10-03T00:00:00Z,393.0951172
2012-10-04T00:00:00Z,110.1777118
2012-10-05T00:00:00Z,234.1193341
2012-10-06T00:00:00Z,132.8119128
2012-10-07T00:00:00Z,60.75089925
2012-10-08T00:00:00Z,716.2081512
2012-10-09T00:00:00Z,31.0795597
2012-10-10T00:00:00Z,201.9105098
2012-10-11T00:00:00Z,23.36323852
2012-10-12T00:00:00Z,24.90159652
2012-10-13T00:00:00Z,32.82070971
2012-10-14T00:00:00Z,24.02183301
2012-10-15T00:00:00Z,59.46456913
2012-10-16T00:00:00Z,47.29036426
2012-10-17T00:00:00Z,16.95089622
2012-10-18T00:00:00Z,50.35047723
2012-10-19T00:00:00Z,116.7575309
2012-10-20T00:00:00Z,44.41483572
2012-10-21T00:00:00Z,110.6539433
2012-10-22T00:00:00Z,34.46702691
2012-10-23T00:00:00Z,555.674664
2012-10-24T00:00:00Z,400.6527883
2012-10-25T00:00:00Z,366.4118489
2012-10-26T00:00:00Z,64.46853698
2012-10-27T00:00:00Z,251.6806005
2012-10-28T00:00:00Z,50.91570041
2012-10-29T00:00:00Z,98.52242009
2012-10-30T00:00:00Z,65.60880302
2012-10-31T00:00:00Z,49.60267689
2012-11-01T00:00:00Z,24.008298
2012-11-02T00:00:00Z,213.6314543
2012-11-03T00:00:00Z,86.5006299
2012-11-04T00:00:00Z,23.35601654
2012-11-05T00:00:00Z,704.5295545
2012-11-06T00:00:00Z,37.83394009
2012-11-07T00:00:00Z,441.1306103
2012-11-08T00:00:00Z,453.9985826
2012-11-09T00:00:00Z,154.191744
2012-11-10T00:00:00Z,2.26102238
2012-11-11T00:00:00Z,20.46019991
2012-11-12T00:00:00Z,21.02200648
2012-11-13T00:00:00Z,33.11242935
2012-11-14T00:00:00Z,4.93106191
2012-11-15T00:00:00Z,220.2295605
2012-11-16T00:00:00Z,760.4641061
2012-11-17T00:00:00Z,12.47660629
2012-11-18T00:00:00Z,177.5465766
2012-11-19T00:00:00Z,229.2161721
