timestamp,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges
2014-01-31T00:00:00Z,22.42516727
2014-02-01T00:00:00Z,84.05453347
2014-02-02T00:00:00Z,46.0296272
2014-02-03T00:00:00Z,153.514485
2014-02-04T00:00:00Z,113.0703149
2014-02-05T00:00:00Z,181.6741254
2014-02-06T00:00:00Z,320.7845752
2014-02-07T00:00:00Z,682.7307703
2014-02-08T00:00:00Z,842.6922071
2014-02-09T00:00:00Z,281.4234594
2014-02-10T00:00:00Z,742.2091823
2014-02-11T00:00:00Z,337.0189594
2014-02-12T00:00:00Z,85.54038364
2014-02-13T00:00:00Z,293.7610484
2014-02-14T00:00:00Z,402.9162483
2014-02-15T00:00:00Z,215.91279
2014-02-16T00:00:00Z,360.9438263
2014-02-17T00:00:00Z,552.9938903
2014-02-18T00:00:00Z,577.9811441
2014-02-19T00:00:00Z,245.1936856
2014-02-20T00:00:00Z,199.0889425
2014-02-21T00:00:00Z,316.9141986
2014-02-22T00:00:00Z,95.63753522
2014-02-23T00:00:00Z,637.0202019
2014-02-24T00:00:00Z,629.9963804
2014-02-25T00:00:00Z,1363.398882
2014-02-26T00:00:00Z,611.9664388
2014-02-27T00:00:00Z,544.7491256
2014-02-28T00:00:00Z,200.2379873
2014-03-01T00:00:00Z,501.8396074
2014-03-02T00:00:00Z,148.0230966
2014-03-03T00:00:00Z,360.9724206
2014-03-04T00:00:00Z,750.2110091
2014-03-05T00:00:00Z,190.4730113
2014-03-06T00:00:00Z,65.50689928
2014-03-07T00:00:00Z,545.1742148
2014-03-08T00:00:00Z,215.3030772
2014-03-09T00:00:00Z,249.972171
2014-03-10T00:00:00Z,184.9050829
2014-03-11T00:00:00Z,134.210848
2014-03-12T00:00:00Z,191.9169634
2014-03-13T00:00:00Z,180.9651798
2014-03-14T00:00:00Z,162.948065
2014-03-15T00:00:00Z,32.93726188
2014-03-16T00:00:00Z,200.3538665
2014-03-17T00:00:00Z,131.2755929
2014-03-18T00:00:00Z,4159.180362
2014-03-19T00:00:00Z,132.7144553
2014-03-20T00:00:00Z,215.7292493
2014-03-21T00:00:00Z,2398.269007
2014-03-22T00:00:00Z,458.4899307
2014-03-23T00:00:00Z,2063.437059
2014-03-24T00:00:00Z,110.237767
2014-03-25T00:00:00Z,2245.383597
2014-03-26T00:00:00Z,4319.041704
2014-03-27T00:00:00Z,4451.885677
2014-03-28T00:00:00Z,4565.66372
2014-03-29T00:00:00Z,2145.071759
2014-03-30T00:00:00Z,4359.725404
2014-03-31T00:00:00Z,4206.058173
2014-04-01T00:00:00Z,227.4964632
2014-04-02T00:00:00Z,293.7080773
2014-04-03T00:00:00Z,764.8533505
2014-04-04T00:00:00Z,2475.206743
2014-04-05T00:00:00Z,6628.466929
2014-04-06T00:00:00Z,2253.649916
2014-04-07T00:00:00Z,206.9745434
2014-04-08T00:00:00Z,39.42244144
2014-04-09T00:00:00Z,273.8211051
2014-04-10T00:00:00Z,883.3850035
2014-04-11T00:00:00Z,1862.284681
2014-04-12T00:00:00Z,357.0442064
2014-04-13T00:00:00Z,300.6273685
2014-04-14T00:00:00Z,614.2095407
2014-04-15T00:00:00Z,697.9158715
2014-04-16T00:00:00Z,644.822039
2014-04-17T00:00:00Z,9621.634054
2014-04-18T00:00:00Z,3315.932285
2014-04-19T00:00:00Z,927.0037592
2014-04-20T00:00:00Z,103.0923732
2014-04-21T00:00:00Z,1205.389259
2014-04-22T00:00:00Z,7043.126982
2014-04-23T00:00:00Z,272.5970056
2014-04-24T00:00:00Z,363.230684
2014-04-25T00:00:00Z,398.2028925
2014-04-26T00:00:00Z,132.0751653
2014-04-27T00:00:00Z,1556.86981
2014-04-28T00:00:00Z,2254.876735
2014-04-29T00:00:00Z,7728.391627
2014-04-30T00:00:00Z,705.0789237
2014-05-01T00:00:00Z,3507.328427
2014-05-02T00:00:00Z,823.8962177
2014-05-03T00:00:00Z,1141.503952
2014-05-04T00:00:00Z,128.073806
2014-05-05T00:00:00Z,663.5995301
2014-05-06T00:00:00Z,1311.337294
2014-05-07T00:00:00Z,630.0898683
2014-05-08T00:00:00Z,393.0733782
2014-05-09T00:00:00Z,913.9161503
2014-05-10T00:00:00Z,439.1911688
2014-05-11T00:00:00Z,3249.640469
2014-05-12T00:00:00Z,881.0599356
2014-05-13T00:00:00Z,1984.18772
2014-05-14T00:00:00Z,4984.401912
2014-05-15T00:00:00Z,4487.314602
2014-05-16T00:00:00Z,2343.602565
2014-05-17T00:00:00Z,97.64715982
2014-05-18T00:00:00Z,252.4228865
2014-05-19T00:00:00Z,2443.594551
2014-05-20T00:00:00Z,6887.107515
2014-05-21T00:00:00Z,1284.228896
2014-05-22T00:00:00Z,5476.575685
2014-05-23T00:00:00Z,5615.170893
2014-05-24T00:00:00Z,2664.522133
2014-05-25T00:00:00Z,2632.23657
2014-05-26T00:00:00Z,655.4527818
2014-05-27T00:00:00Z,3191.527365
2014-05-28T00:00:00Z,656.0094349
2014-05-29T00:00:00Z,1303.441894
2014-05-30T00:00:00Z,1789.85536
2014-05-31T00:00:00Z,2924.106437
2014-06-01T00:00:00Z,1898.851679
2014-06-02T00:00:00Z,4148.593615
2014-06-03T00:00:00Z,2307.821155
2014-06-04T00:00:00Z,6655.548702
2014-06-05T00:00:00Z,6477.285293
2014-06-06T00:00:00Z,560.2313971
2014-06-07T00:00:00Z,1899.238817
2014-06-08T00:00:00Z,518.5257163
2014-06-09T00:00:00Z,2525.434374
2014-06-10T00:00:00Z,2487.781812
2014-06-11T00:00:00Z,1050.148171
2014-06-12T00:00:00Z,7162.455501
2014-06-13T00:00:00Z,1912.685264
2014-06-14T00:00:00Z,2595.321737
2014-06-15T00:00:00Z,875.8684298
2014-06-16T00:00:00Z,1830.798607
2014-06-17T00:00:00Z,3088.897946
2014-06-18T00:00:00Z,1493.878142
2014-06-19T00:00:00Z,564.8771324
2014-06-20T00:00:00Z,664.0404592
2014-06-21T00:00:00Z,700.1855926
2014-06-22T00:00:00Z,579.2254571
2014-06-23T00:00:00Z,1968.450569
2014-06-24T00:00:00Z,519.19909
2014-06-25T00:00:00Z,1494.374399
2014-06-26T00:00:00Z,1882.285625
2014-06-27T00:00:00Z,650.7985127
2014-06-28T00:00:00Z,264.4943277
2014-06-29T00:00:00Z,1532.522247
2014-06-30T00:00:00Z,6670.65546
2014-07-01T00:00:00Z,2131.830284
2014-07-02T00:00:00Z,1768.696945
2014-07-03T00:00:00Z,2289.643604
2014-07-04T00:00:00Z,1802.528243
2014-07-05T00:00:00Z,578.2638983
2014-07-06T00:00:00Z,335.09566
2014-07-07T00:00:00Z,1817.541591
2014-07-08T00:00:00Z,459.3985185
2014-07-09T00:00:00Z,448.8311599
2014-07-10T00:00:00Z,1334.193653
2014-07-11T00:00:00Z,598.3627259
2014-07-12T00:00:00Z,3009.587808
2014-07-13T00:00:00Z,663.7501932
2014-07-14T00:00:00Z,2524.543571
2014-07-15T00:00:00Z,2155.855729
2014-07-16T00:00:00Z,2536.093339
